,C5,C6,C8,C12,U14
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,X,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,X,,,,,
9,,,,,,
11,,,,,,
12,X,,,,,
13,,,,,,
14,X,,,,,
15,X,X,,,,
16,,,,,,
17,,,,,,
18,,X,,,,
19,X,X,,,,
20,,X,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,X,X,,,,
26,X,X,,,,
27,X,,,,,
28,X,,,,,
29,,,X,,,
30,,,X,,,
31,,X,,,,
32,X,,,,,
33,X,,,,,
34,,,,,,
35,X,X,,,,
36,X,X,,,,
37,X,,,,,
38,X,X,,,,
39,X,X,,,,
40,,,,,,
41,,,X,,,
42,,,,,,
43,X,X,,,,
44,X,,,,,
45,,,,,,
46,X,,,,,
47,X,X,,,,
48,X,X,,,,
49,,,,,,
50,,,,,,
51,X,,,,,
52,,,,,,
53,,X,,,,
54,X,,,,,
55,,,,,,
56,X,X,,,,
57,X,X,,,,
58,,X,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,X,,,,,
63,,,,,,
64,X,X,,,,
65,X,X,,,,
66,X,X,,,,
67,,,,,,
68,X,,,,,
69,X,X,,,,
70,,,,,,
71,,,,,,
72,X,X,,,,
73,,,,,,
74,X,X,,,,
75,X,,,,,
76,,,,,,
77,,,,,,
78,X,,,,,
79,X,,,,,
80,,,,,,
81,,,,,,
82,X,X,,,,
83,X,X,,,,
84,X,X,,,,
85,X,X,,,,
86,X,,,,,
87,X,,,,,
88,,,,,,
89,X,,,,,
90,X,X,,,,
91,,,,,,
92,,,,,,
93,X,,,,,
94,,X,,,,
95,X,X,,,,
96,,,,,,
97,,X,,,,
98,,X,,,,
99,X,X,,,,
100,,X,,,,
101,,,,,,
102,,,,,,
103,,X,,,,
104,X,X,,,,
105,X,,,,,
106,,,X,,,
107,X,X,,,,
108,X,X,,,,
109,X,X,,,,
110,,,,,,
111,X,X,,,,
112,X,,,,,
113,,,,,,
114,,,,,,
115,,,,,,
116,,,,,,
117,,,,,,
118,X,X,,,,
119,X,X,,,,
120,,X,,,,
121,,,,,,
122,,,,,,
123,,X,,,,
124,,X,,,,
125,X,X,,,,
126,X,,,,,
127,X,,,,,
128,X,X,,,,
129,,X,,,,
130,,X,,,,
131,,,,,,
132,X,,,,,
133,X,X,,X,,
134,X,X,,,,
135,,,,,,
136,X,,,,,
137,X,,,,,
138,,X,,,,
139,X,X,,,,
140,X,X,,,,
141,X,X,,,,
142,X,X,,,,
143,X,,,,,
144,X,X,,,,
145,,X,,,,
146,,X,,,,
147,,X,,,,
148,X,,,,,
149,,X,,,,
150,X,X,,,,
151,,,,,,
152,,X,,,,
153,,X,,,,
154,X,,,,,
155,,X,,,,
156,,,,,,
157,,,,,,
158,X,X,,,,
159,X,X,,,,
160,,,,,,
161,,,,,,
162,,,,,,
163,,,X,,,
164,X,X,,,,
165,X,,,,,
166,,,X,,,
167,,,,,,
168,X,X,,,,
169,X,,,,,
170,,,,,,
171,X,X,,,,
172,X,X,,,,
173,X,X,,,,
175,X,,,,,
176,X,X,,,,
177,,,,,,
178,,X,,,,
179,,,,,,
180,X,X,,,,
181,X,,,,,
182,X,X,,,,
183,,X,,,,
184,X,,,,,
185,X,X,,,,
186,,,,,,
187,X,X,,,,
188,,,X,,,
189,X,,,,,
190,X,X,,,,
191,,,,,,
192,,X,,,,
193,X,X,,,,
194,,,,,,
195,X,X,,,,
196,,,X,,,
197,,,,,,
198,,,,,,
199,X,X,,,,
200,,,,,,
201,,,,,,
202,,,,,,
203,,,X,,,
204,X,X,,,,
205,X,X,,,,
206,X,X,,,,
207,X,,,,,
208,X,X,,,,
209,X,X,,,,
210,,X,,,,
211,,,,,,
212,X,,,,,
213,,X,,,,
214,X,,,,,
215,,,X,,,
216,X,X,,,,
217,,X,,,,
218,,,,,,
219,X,X,,,,
220,X,X,,,,
221,,,,,,
222,,,X,X,,
223,,,,,,
224,X,,,X,,
225,,,X,,,
226,X,X,,,,
227,,,,,,
228,,,,,,
229,X,,,,,
231,X,,,,,
232,X,,,,,
233,,X,,,,
234,,X,,,,
235,,,,,,
236,,,X,,,
237,,X,,,,
238,X,X,,,,
239,X,X,,,,
240,X,X,,,,
241,X,,,,,
242,X,X,,,,
243,X,,,,,
245,X,X,,,,
246,X,X,,,,
248,X,X,,,,
249,,X,,,,
250,X,X,,,,
251,,,,,,
252,,,,,,
253,,,,,,
254,,X,,,,
255,X,X,,,,
256,X,,,,,
257,X,X,,,,
258,,X,,,,
260,,X,,,,
261,,,,,,
262,,X,,,,
264,,,,,,
265,,X,,,,
266,X,X,,,,
267,X,X,,,,
268,X,X,,,,
269,,,,,,
271,,,,,,
272,,,,,,
273,,,,,,
274,X,,,,,
275,,,,,,
276,,,X,,,
277,X,X,,,,
278,X,X,,,,
279,X,X,,,,
280,X,X,,,,
282,,,,,,
284,,,,,,
285,X,,,,,
286,X,X,,,,
287,X,X,,,,
288,X,X,,,,
289,X,,,,,
290,,X,,,,
291,X,,,,,
292,,,,,,
293,,X,,,,
294,,,,,,
295,X,X,,,,
296,X,X,,,,
297,,X,,,,
298,,X,,,,
299,X,X,,,,
300,X,X,,,,
302,,X,,,,
303,X,X,,,,
304,X,,,,,
306,X,X,,,,
307,,,,,,
308,,X,,,,
310,,,,,,
311,,X,,,,
312,,X,,,,
313,,X,,,,
314,,X,,X,,
315,,,,,,
316,,X,,,,
317,X,,,,,
319,X,X,,,,
321,,X,,,,
322,,,,,,
323,X,,,,,
324,,,,,,
325,,X,,,,
326,X,X,,,,
327,,X,,,,
328,,X,,,,
329,,,,,,
330,X,X,,,,
332,X,X,,,,
333,X,,,,,
334,X,X,,,,
335,X,X,,,,
336,,,X,,,
337,X,X,,,,
338,,,,,,
339,,,X,,,
340,X,X,,,,
341,X,X,,,,
342,X,X,,,,
343,X,X,,,,
345,X,X,,,,
346,,,,,,
347,X,X,,,,
348,,,,,,
350,X,,,,,
352,,,,,,
353,,,,,,
354,X,X,,,,
355,X,X,,,,
356,,,,,,
361,X,X,X,,,
362,,X,,,,
363,X,X,,,,
364,X,X,,,,
365,,,,,,
368,X,,,,,
369,,X,,,,
370,,,,,,
371,,X,,,,
372,X,X,,,,
375,X,X,,,,
376,X,,,,,
377,,,,,,
378,X,X,,,,
379,,,,,,
380,X,X,,,,
382,,,X,,,
386,,,,,,
387,X,,,,,
388,X,X,,,,
390,X,X,,,,
391,X,X,,,,
392,,X,,,,
393,,,X,,,
394,X,X,,,,
395,X,,,,,
397,,X,,,,
398,X,X,,,,
399,,,,,,
401,,,,,,
403,,,,,,
404,X,X,,,,
405,,X,,,,
406,,,,,,
407,,X,,,,
408,X,X,,,,
409,X,X,,,,
410,X,X,,,,
411,X,X,,,,
412,,,,,,
413,X,X,,,,
414,X,X,,,,
415,X,,,,,
416,X,,,,,
418,X,,,,,
419,,,,,,
420,X,X,,,,
422,X,,,,,
423,X,,,,,
424,X,,,,,
426,X,X,,,,
427,,,,,,
428,X,,,,,
429,,X,,,,
430,X,X,,,,
431,X,X,,,,
432,,,,,,
433,X,,,,,
434,X,,,,,
437,X,X,,,,
438,,,,,,
439,X,,,,,
440,X,,,,,
441,,X,,,,
442,,,,,,
443,X,,,,,
444,X,,,,,
